Date,Open,High,Low,Close,Adj_Close,Volume
2020-04-20,6.219000,6.271000,6.126000,6.192000,6.192000,17679315
2020-04-21,6.086000,6.184000,5.990000,6.005000,6.005000,25367280
2020-04-22,6.022000,6.065000,5.913000,5.985000,5.985000,24470763
2020-04-23,6.015000,6.030000,5.917000,5.926000,5.926000,23820134
2020-04-24,5.860000,6.005000,5.800000,5.900000,5.900000,21608051
2020-04-27,6.036000,6.155000,5.977000,6.070000,6.070000,22835825
2020-04-28,6.126000,6.224000,6.111000,6.150000,6.150000,25404207
2020-04-29,6.102000,6.279000,6.054000,6.270000,6.270000,28623440
2020-04-30,6.324000,6.359000,6.205000,6.236000,6.236000,33577064
2020-05-04,6.065000,6.168000,6.007000,6.007000,6.007000,29178461
2020-05-05,6.054000,6.129000,5.980000,6.088000,6.088000,22968956
2020-05-06,6.120000,6.210000,6.040000,6.067000,6.067000,20896530
2020-05-07,6.120000,6.322000,6.115000,6.188000,6.188000,31521089
2020-05-08,6.250000,6.254000,6.133000,6.200000,6.200000,16273749
